record_no,company,category,location,address,industry_group,ev_role
186,Trenton Pressing Inc.,OEM Supply Chain,"Trenton, Dade County","505 N Industrial Blvd, Trenton, GA 30752",Automotive precision components,Machined components supporting EV and ICE vehicles
187,Valeo,OEM Supply Chain,,,Automotive parts manufacturing,Tier 1 automotive components
188,Vanguard National Trailer Corp.,OEM Supply Chain,"Trenton, Dade County","8 Vanguard Dr, Trenton, GA 30752",Automotive structural components,Body and chassis components for EV and ICE OEMs
189,Vernay,OEM Supply Chain,"Griffin, Spalding County","804 Greenbelt Pkwy, Griffin, GA 30223",Automotive stamping and assemblies,Stamped and welded assemblies for OEMs
190,Vista Metals Corp.,OEM Supply Chain,"Adairsville, Bartow County","800 Martin Luther King Jr Dr, Adairsville, GA 30103",Automotive modules and components,EV and ICE component manufacturing
191,Voestalpine Automotive Body Parts Inc.,OEM Supply Chain,"Cartersville, Bartow County","4334 Highway 20 SE, Cartersville, GA 30121",Automotive components,EV and ICE powertrain and HVAC components
192,Volvo Cars USA,OEM Supply Chain,,"1800 Volvo Place, Mahwah, NJ 07430",Automotive plastics,Plastic components for EV and ICE vehicles
193,Volvo Group North America,OEM Supply Chain,,"7900 National Service Rd, Greensboro, NC 27409",Metal stamping and assemblies,Stamped metal components for OEMs
194,Wabash National Corp.,OEM Supply Chain,"Ellenwood, Clayton County","2620 Campbell Blvd, Ellenwood, GA 30294",Automotive plastic components,Interior and exterior plastic parts
195,Wheelabrator Group Inc.,OEM Supply Chain,"LaGrange, Troup County","1606 Executive Dr, LaGrange, GA 30240",Automotive textiles and interiors,Interior trim and textile components
196,WIKA USA,OEM Supply Chain,"Lawrenceville, Gwinnett County","1000 Wiegand Blvd, Lawrenceville, GA 30043",Automotive wiring systems,HV and LV wiring harnesses for EVs and ICE vehicles
197,Woodbridge Foam Corp.,OEM Supply Chain,"Lithonia, Rockdale County","2399 S Stone Mountain Lithonia Rd, Lithonia, GA 30058",Automotive electrical systems,EV wiring harnesses and power distribution
198,Woory Industrial Co.,OEM Supply Chain,"Dublin, Johnson County","404 Kellam Rd, Dublin, GA 31021",Electrical connectors and sensors,High‑voltage EV connectors and electronics
199,Yachiyo Manufacturing of America LLC,OEM Supply Chain,"Carrollton, Carroll County","565 Beulah Church Rd, Carrollton, GA 30117",Automotive seating and E‑systems,EV electrical distribution and interior systems
200,Yamaha Motor Manufacturing Corp.,OEM Supply Chain,"Newnan, Coweta County","1000 Georgia Highway 34E, Newnan, GA",Automotive electronics,Advanced electrical architecture for EVs
201,Yazaki North America,OEM Footprint,"Griffin, Spalding County","375 Airport Rd, Griffin, Georgia",Automotive electronics and systems,"Power electronics, sensors, and EV systems"
202,YKK USA Inc.,OEM Footprint,"Marietta, Cobb County","1300 Cobb Industrial Dr, Marietta, GA 30066",Automotive electronics and safety systems,"EV sensors, braking, and control systems"
203,ZF Gainesville LLC,OEM Supply Chain,"Gainesville, Hall County","1261 Palmour Dr SW, Gainesville, GA 30501",Automotive systems and components,"EV body, powertrain, and thermal components"
204,ZF Gainesville LLC,OEM Supply Chain,"Gainesville, Hall County","1261 Palmour Dr SW, Gainesville, GA 30501",Automotive thermal and electronics systems,EV thermal management and power electronics
205,ZF Gainesville LLC,OEM Footprint,"Gainesville, Hall County","1261 Palmour Dr SW, Gainesville, GA 30501",Automotive powertrain and thermal systems,EV thermal systems and electronics
